,YEAR,GENDER,Upto 10 years,10-15 years,15-18 years,18-30 years,30-50 years,Above 50 years,Total
0,2001,Female,386,203,625,3774,2715,667,8370
1,2001,Male,454,384,1484,12638,12512,2794,30266
2,2001,Total,840,587,2109,16412,15227,3461,38636
3,2002,Female,254,158,146,4187,2776,675,8196
4,2002,Male,293,234,413,13819,12454,2624,29837
5,2002,Total,547,392,559,18006,15230,3299,38033
6,2003,Female,249,136,240,3640,2590,650,7505
7,2003,Male,288,219,481,11722,11244,2362,26316
8,2003,Total,537,355,721,15362,13834,3012,33821
9,2004,Female,317,138,207,4006,2787,664,8119
10,2004,Male,322,261,469,12053,11206,2485,26796
11,2004,Total,639,399,676,16059,13993,3149,34915
12,2005,Female,290,152,194,3962,2710,644,7952
13,2005,Male,316,220,429,12216,10715,2571,26467
14,2005,Total,606,372,623,16178,13425,3215,34419
15,2006,Female,290,144,233,3701,2624,694,7686
16,2006,Male,350,259,447,11985,10407,2674,26122
17,2006,Total,640,403,680,15686,13031,3368,33808
18,2007,Female,329,160,193,4016,2706,702,8106
19,2007,Male,379,306,391,11167,10549,2530,25322
20,2007,Total,708,466,584,15183,13255,3232,33428
21,2008,Female,324,156,204,3928,2868,706,8186
22,2008,Male,346,276,405,11306,10708,2500,25541
23,2008,Total,670,432,609,15234,13576,3206,33727
24,2009,Female,351,153,193,4190,3025,806,8718
25,2009,Male,362,263,373,10689,10345,2409,24441
26,2009,Total,713,416,566,14879,13370,3215,33159
27,2010,Female,343,134,194,4207,3057,807,8742
28,2010,Male,384,221,372,11580,10077,2532,25166
29,2010,Total,727,355,566,15787,13134,3339,33908
30,2011,Female,362,128,228,4453,3178,1028,9377
31,2011,Male,434,205,381,11483,10782,2461,25746
32,2011,Total,796,333,609,15936,13960,3489,35123
33,2012,Female,415,180,272,4286,3409,895,9457
34,2012,Male,364,244,490,10941,10695,2931,25665
35,2012,Total,779,424,762,15227,14104,3826,35122
36,2013,Female,421,171,300,4244,3185,859,9180
37,2013,Male,437,230,588,10666,10171,2629,24721
38,2013,Total,858,401,888,14910,13356,3488,33901
